Id,eigencentrality,betweenesscentrality
Wolverine,1,54142.83287
Dazzler,0.964491,43347.22609
Storm,0.907934,41352.55945
"Roberto da Costa (Sunspot, Citizen X)",0.887049,37310.15234
Captain Marvel (Carol Danvers),0.861005,30172.64345
Beast,0.844897,29457.90222
Sabretooth,0.841529,28132.96185
Laura Kinney (X-23),0.835503,25565.12103
Rogue,0.825083,24935.38704
Firestar,0.815387,20986.44505
Cannonball,0.811812,20594.82706
Captain America (Steve Rogers),0.796631,18238.18029
Magneto,0.781618,17458.05234
"Barnell Bohusk (Beak, Blackwing)",0.772323,16774.78589
"Kitty Pryde (Shadowcat, Star-Lady)",0.750767,16261.45962
Spider-Woman,0.741335,15686.98837
Sunfire,0.729288,14443.15768
Namor,0.728121,14174.74931
Spider-Man,0.718678,13758.88892
Prodigy,0.700083,13492.82477
Angel (Warren Worthington III),0.690676,13399.74212
Absorbing Man,0.658143,12651.39777
Mystique,0.654572,12585.41476
Iron Man (Tony Stark),0.652758,11727.88456
Taskmaster,0.629978,11242.07578
Psylocke,0.628831,11199.23902
Toad,0.626069,10896.16148
Emma Frost,0.618036,10743.26071
Sage,0.611174,10496.45717
"Monet St. Croix (Penance, M)",0.608641,10357.60508
Husk,0.607632,10250.503
Glob Herman,0.606404,9989.071248
Kid Omega,0.606404,9841.517869
Sebastian Shaw,0.606404,9725.123874
Hawkeye,0.604772,9123.09287
Colossus,0.601178,9069.439455
Big Bertha,0.587023,9009.010408
Flatman,0.587023,8862.171351
Ricochet,0.587023,8685.867389
Hulk,0.586591,8361.051374
Loa,0.585816,8332.396996
Northstar,0.585115,8125.214101
Black Widow,0.577606,8060.754104
Stepford Cuckoos,0.575869,7785.665101
The Thing,0.562646,7785.665101
Caliban,0.56148,7763.589656
Aurora,0.559857,7435.057983
Cable,0.559254,7323.305673
Skids,0.557648,7263.679698
Havok,0.556706,7032.358827
Juggernaut,0.554994,7006.90844
Lady Mastermind,0.551109,6829.192341
Magma,0.550787,6798.674828
Ernst,0.547303,6365.881135
No-Girl,0.547303,6303.801161
Falcon,0.545014,6166.119836
Human Torch (Johnny Storm),0.543251,6031.002577
Wolfsbane,0.543101,6030.054215
Gambit,0.541938,5995.65206
Domino,0.539657,5950.66403
Fantomex,0.538053,5825.345456
Deadpool,0.53576,5775.273812
Nightcrawler,0.535652,5560.505832
Warpath,0.534513,5520.812496
Cyclops,0.533103,5422.818496
Forge,0.532644,5386.722378
Box,0.532576,5308.458182
Boom-Boom,0.532254,5306.705461
Tigra,0.530461,5280.751577
Elixir,0.529831,5205.977345
Karma,0.529288,5190.50662
Bishop,0.528432,4948.671319
Alchemy,0.525348,4948.671319
Anole,0.525348,4876.272657
Armor,0.525348,4851.934773
Blindfold,0.525348,4830.649375
Bling,0.525348,4792.908127
Dust,0.525348,4783.411518
Frenzy,0.525348,4600.121144
Hellion,0.525348,4600.121144
Lifeguard,0.525348,4551.526577
Match,0.525348,4475.206159
Mercury,0.525348,4365.48191
Onyxx,0.525348,4359.394732
Pixie,0.525348,4286.092018
Rockslide,0.525348,4237.49037
Surge,0.525348,4198.568588
Thunderbird (Neal Shaara),0.525348,4160.890276
Trance,0.525348,4160.890276
Daimon Hellstrom,0.521209,4140.076883
Captain Britain,0.519205,4026.065969
Invisible Woman,0.51843,3918.612839
Mentallo,0.518243,3852.278446
James Madrox,0.518155,3852.278446
Scorpion,0.518114,3852.278446
Victoria Hand,0.51386,3852.278446
Mockingbird,0.510869,3852.278446
Jean Grey,0.510832,3782.354965
Rachel Summers,0.510258,3654.990883
Agent Garza,0.509661,3648.658939
Iron Patriot,0.509661,3600.649996
Maria Hill,0.509661,3461.774351
Nick Fury,0.509661,3421.548909
"Nick Fury, Jr",0.509661,3372.120344
Phil Coulson,0.509661,3346.560559
Quake,0.509661,3269.386127
Quasar,0.509661,3269.386127
E.V.A.,0.508944,3269.386127
Iceman,0.502124,3216.225242
Phoenix Force,0.50208,3212.45555
Broo,0.499113,3204.945253
Dr. Frankenstein,0.499113,3104.736828
Krakoa,0.499113,3004.805265
Manuel Enduque,0.499113,2971.566682
Oya,0.499113,2924.038417
Black Knight,0.488741,2918.550858
Professor X,0.482354,2908.636715
Marrow,0.481552,2852.821073
Dagger,0.469539,2847.587728
Whirlwind,0.466374,2820.532035
Polaris,0.462785,2798.216243
Silver Samurai,0.460509,2764.43516
Joseph,0.460257,2736.429089
Luke Cage,0.456364,2698.616653
Iron Fist,0.454448,2679.841008
Quicksilver,0.453861,2627.648153
Pyro,0.451725,2619.105709
Cloak,0.450888,2528.359301
