Id,eigencentrality,betweenesscentrality
Avengers,1,194.934496
The X-Men,0.979058,168.114496
S.H.I.E.L.D.,0.953724,121.70709
The 198,0.932701,99.787112
Defenders,0.8879,97.549606
Hellfire Club,0.840917,89.795637
Secret Defenders,0.804503,88.663463
X-Force,0.795563,63.903553
Brotherhood of Evil Mutants,0.791188,55.715614
Avengers Unity Division,0.774599,51.628085
Astonishing Avengers,0.759691,47.944217
Extinction X-Men,0.751204,42.722796
Illuminati,0.709103,42.25916
Secret Avengers,0.668267,42.178673
Horsemen of Apocalypse,0.661605,39.468385
X-Treme X-Men,0.643684,31.643174
Lady Liberators,0.633537,30.139431
Weapon Plus,0.625229,25.394881
H.Y.D.R.A.,0.624439,24.688652
New Avengers,0.618756,21.958772
The Twelve,0.59504,21.157131
The Mighty,0.587645,20.649437
The Hand,0.579843,16.352499
Fantastic Four,0.577912,15.525187
New Mutants,0.56838,15.303881
X-Men (Magneto),0.566302,15.180579
X-Factor (Government),0.550739,14.689627
Thunderbolts,0.550576,14.41187
Excalibur,0.543713,14.321425
Frightful Four,0.542942,14.282216
Marauders,0.529009,13.999539
X-Factor (Original),0.52848,13.503519
Dark X-Men,0.490432,11.86623
Weapon X,0.484534,10.724962
Mighty Avengers,0.481255,10.291349
Future Foundation,0.471467,9.77134
Masters of Evil,0.455917,9.635557
The Worthy,0.450727,8.42688
Acolytes,0.445204,8.424798
Morlocks,0.444829,8.202941
Heralds of Galactus,0.438172,7.856627
Guardians of the Galaxy,0.41304,7.59013
Cabal,0.400184,7.448075
Invaders,0.399388,6.962794
X-Factor (Investigations),0.395988,6.674942
X-Factor (Serval Industries),0.393199,6.561528
New Warriors,0.382367,6.518193
Avengers Idea Mechanics,0.380948,5.589068
Starjammers,0.380377,5.436157
Phoenix Five,0.373065,5.138576
Freedom Force,0.371324,4.622229
Hellions,0.360834,4.333789
Mercs for Money,0.348168,3.561182
Dark Avengers,0.340924,3.525093
Alpha Flight,0.339602,3.020418
Advanced Idea Mechanics,0.321898,2.467289
Army of Evil,0.296356,2.397021
Generation X,0.296327,2.284341
Incredible Hulks,0.295873,1.676206
Thunderbolts (Red Hulk),0.291858,1.567399
Sinister Six,0.230883,1.465659
Hell Lords,0.193888,1.346007
Heroes for Hire,0.190883,1.084722
Asgardian,0.183032,0.976879
V-Battalion,0.182863,0.489914
Department of Occult Armaments,0.163201,0.317832
Squadron Supreme,0.161643,0.3
Serpent Society,0.159118,0.290909
Daydreamers,0.141725,0.290376
Nova Corps,0.135821,0.136081
United Front,0.135054,0.102302
Brotherhood of the Shield,0.115585,0.05
U-Foes,0.026998,0
